,airport_id,airport_code,city,state,median_d_delay,median_a_delay,dep_flight_count,arr_flight_count,std_d_delay,std_a_delay
305,14633,RST,Rochester, MN,-5.0,-8.0,71,80,33.69,39.11
306,14635,RSW,Fort Myers, FL,-3.0,-6.0,548,527,50.78,52.1
307,14674,SAF,Santa Fe, NM,-8.0,-8.0,43,43,69.2,70.24
308,14679,SAN,San Diego, CA,-2.0,-5.0,1535,1543,32.15,33.41
309,14683,SAT,San Antonio, TX,-2.0,-5.0,703,627,50.95,51.93
310,14685,SAV,Savannah, GA,-4.0,-6.0,292,292,48.93,49.35
311,14689,SBA,Santa Barbara, CA,-6.0,-6.0,99,128,30.79,32.9
312,14696,SBN,South Bend, IN,-4.0,-5.5,122,125,59.75,65.91
313,14698,SBP,San Luis Obispo, CA,-7.0,-6.0,101,85,92.66,97.49
314,14704,SBY,Salisbury, MD,-7.5,-8.5,38,28,28.12,30.13
315,14709,SCC,Deadhorse, AK,-13.5,-7.0,17,18,15.17,11.56
316,14711,SCE,State College, PA,-7.0,-9.0,66,83,48.59,52.49
317,14716,SCK,Stockton, CA,4.5,-1.0,16,14,57.51,56.7
318,14730,SDF,Louisville, KY,-3.0,-5.0,454,457,46.24,47.2
319,14747,SEA,Seattle, WA,-2.0,-4.0,3069,2941,36.48,39.11
320,14761,SFB,Sanford, FL,-2.5,-2.0,172,153,33.96,35.95
321,14771,SFO,San Francisco, CA,-2.0,-5.0,2787,2804,47.75,49.55
322,14783,SGF,Springfield, MO,-2.0,-5.0,151,185,52.02,52.01
323,14794,SGU,St. George, UT,-5.0,-5.5,57,46,32.37,37.15
324,14802,SHD,Staunton, VA,-7.5,-2.5,10,13,79.34,75.48
325,14814,SHV,Shreveport, LA,-4.0,-5.0,97,124,14.82,19.86
326,14828,SIT,Sitka, AK,-5.0,-11.0,17,20,41.41,44.19
327,14831,SJC,San Jose, CA,-2.0,-5.5,1042,1049,40.53,40.76
328,14842,SJT,San Angelo, TX,-6.0,-7.0,23,31,9.33,12.72
329,14843,SJU,San Juan, PR,-2.0,-5.0,425,398,55.07,56.08
330,14869,SLC,Salt Lake City, UT,-2.0,-7.0,1984,1959,34.42,36.53
331,14877,SLN,Salina, KS,-3.0,-11.0,14,15,273.33,284.82
332,14893,SMF,Sacramento, CA,-2.0,-5.0,891,921,32.05,32.76
333,14905,SMX,Santa Maria, CA,11.0,-5.0,3,2,13.75,15.89
334,14908,SNA,Santa Ana, CA,-2.0,-6.0,699,749,27.57,29.27
335,14952,SPI,Springfield, IL,-3.0,-2.0,34,21,58.31,59.49
336,14955,SPN,Saipan, TT,-4.0,-3.0,10,11,20.9,21.0
337,14960,SPS,Wichita Falls, TX,-6.0,-3.0,13,26,57.62,55.19
338,14986,SRQ,Sarasota/Bradenton, FL,-3.0,-5.0,103,134,39.6,42.13
339,15016,STL,St. Louis, MO,0.0,-5.0,1233,1222,35.24,37.48
340,15023,STS,Santa Rosa, CA,-4.5,-4.0,70,58,37.75,40.3
341,15024,STT,Charlotte Amalie, VI,-5.0,-5.0,39,48,25.31,30.99
342,15027,STX,Christiansted, VI,-7.0,-2.0,19,21,30.24,31.24
343,15041,SUN,Sun Valley/Hailey/Ketchum, ID,-6.0,-11.0,25,22,38.39,37.44
344,15048,SUX,Sioux City, IA,-1.0,0.0,18,27,78.09,82.64
345,15070,SWF,Newburgh/Poughkeepsie, NY,-3.0,-6.0,45,39,71.4,71.95
346,15074,SWO,Stillwater, OK,-8.0,-5.0,17,15,14.2,14.94
347,15096,SYR,Syracuse, NY,-4.0,-5.0,290,273,46.55,49.01
348,15249,TLH,Tallahassee, FL,-4.0,-4.0,111,85,15.34,17.47
349,15295,TOL,Toledo, OH,-4.5,-5.0,23,37,143.49,143.92
350,15304,TPA,Tampa, FL,-2.0,-5.0,1213,1216,53.81,54.73
351,15323,TRI,Bristol/Johnson City/Kingsport, TN,-5.0,-6.0,60,59,58.55,57.17
352,15356,TTN,Trenton, NJ,-1.0,-8.0,49,45,33.84,39.39
353,15370,TUL,Tulsa, OK,-4.0,-3.0,278,279,52.59,56.3
354,15376,TUS,Tucson, AZ,-4.0,-2.0,303,309,22.16,22.32
355,15380,TVC,Traverse City, MI,-3.5,-10.0,89,84,43.09,48.58
356,15389,TWF,Twin Falls, ID,-9.0,-13.0,16,26,14.42,21.15
357,15401,TXK,Texarkana, AR,-5.0,0.0,19,22,45.21,48.68
358,15411,TYR,Tyler, TX,-3.0,0.0,28,24,62.62,64.22
