airport_id,airport_code,city,state,mean_d_delay,mean_arr_delay,dep_flight_count,arr_flight_count,dep_late_count,arr_late_count,dep_late_perc,arr_late_perc,dep_taxi,arr_taxi
10397,ATL,Atlanta, GA,8.11,-0.44,6288,6252,1949,1793,0.31,0.287,16.884860050890584,8.701855406269994
11042,CLE,Cleveland, OH,7.63,2.29,793,836,267,268,0.337,0.321,15.717528373266077,6.893540669856459
12953,LGA,New York, NY,11.52,8.39,2642,2596,947,991,0.358,0.382,26.673732021196063,8.894838212634824
14771,SFO,San Francisco, CA,11.09,8.11,2721,2728,1008,1081,0.37,0.396,21.69643513414186,8.572947214076246
12339,IND,Indianapolis, IN,7.87,5.28,801,800,272,309,0.34,0.386,14.757802746566792,6.19375
12892,LAX,Los Angeles, CA,8.0,0.96,3887,3955,1260,1391,0.324,0.352,18.489323385644457,11.961820480404551
14747,SEA,Seattle, WA,6.66,2.39,3023,2903,1083,1159,0.358,0.399,19.731061859080384,9.890113675508095
13487,MSP,Minneapolis, MN,6.47,1.26,2666,2560,769,755,0.288,0.295,19.38934733683421,6.035546875
11193,CVG,Cincinnati, OH,8.63,3.14,821,818,276,264,0.336,0.323,15.724725943970768,6.004889975550122
12478,JFK,New York, NY,9.77,7.3,2026,2031,674,711,0.333,0.35,26.601184600197435,10.321516494337764
10299,ANC,Anchorage, AK,-0.37,-1.55,317,310,79,95,0.249,0.306,14.04416403785489,4.038709677419355
10721,BOS,Boston, MA,11.31,8.66,2414,2360,867,910,0.359,0.386,20.207539353769675,8.420762711864407
12266,IAH,Houston, TX,8.41,3.46,2754,2851,960,1012,0.349,0.355,19.068627450980394,8.546825675201683
13796,OAK,Oakland, CA,7.62,2.55,821,861,277,302,0.337,0.351,12.616321559074299,6.144018583042973
13204,MCO,Orlando, FL,13.45,4.87,2139,2263,805,819,0.376,0.362,15.868630201028518,9.342023862129915
14100,PHL,Philadelphia, PA,9.15,3.89,2415,2427,856,810,0.354,0.334,22.83809523809524,7.829007004532344
11057,CLT,Charlotte, NC,10.11,1.88,3863,3866,1536,1288,0.398,0.333,20.722754336008283,12.677185721676151
13931,ORF,Norfolk, VA,11.27,6.62,436,436,146,161,0.335,0.369,15.435779816513762,4.378440366972477
13930,ORD,Chicago, IL,11.31,6.2,6163,6188,2536,2181,0.411,0.352,22.744442641570664,13.800581771170007
11298,DFW,Dallas/Fort Worth, TX,11.96,4.63,4658,4501,1979,1576,0.425,0.35,18.716187204808932,11.859142412797157
14679,SAN,San Diego, CA,6.71,2.8,1511,1528,528,564,0.349,0.369,17.10986101919259,4.0942408376963355
14107,PHX,Phoenix, AZ,7.96,3.05,2841,2935,1017,1031,0.358,0.351,14.994368180218233,7.681771720613288
13303,MIA,Miami, FL,11.84,3.43,1392,1359,528,453,0.379,0.333,18.826867816091955,8.779985283296542
11278,DCA,Washington, DC,9.37,3.96,2210,2202,776,744,0.351,0.338,19.87285067873303,6.437329700272479
11618,EWR,Newark, NJ,17.41,14.45,2378,2404,1015,1053,0.427,0.438,25.137510513036165,10.050748752079867
13198,MCI,Kansas City, MO,5.48,3.99,926,900,294,308,0.317,0.342,13.308855291576673,5.237777777777778
11433,DTW,Detroit, MI,6.8,-0.25,2831,2779,843,764,0.298,0.275,18.68738961497704,8.58078445483987
13485,MSN,Madison, WI,8.47,8.87,243,254,81,98,0.333,0.386,14.876543209876543,5.405511811023622
12917,LCK,Columbus, OH,-2.94,0.38,17,16,5,6,0.294,0.375,11.647058823529411,5.3125
12889,LAS,Las Vegas, NV,9.08,3.66,2611,2608,973,967,0.373,0.371,15.288012255840673,6.898389570552148
10466,AZA,Phoenix, AZ,8.65,9.89,78,92,27,43,0.346,0.467,12.294871794871796,6.032608695652174
14122,PIT,Pittsburgh, PA,7.84,3.33,803,772,268,257,0.334,0.333,15.7173100871731,5.832901554404145
10821,BWI,Baltimore, MD,10.25,3.2,1637,1579,611,525,0.373,0.332,13.957849725106902,5.3141228625712476
14635,RSW,Fort Myers, FL,7.4,4.85,541,524,176,189,0.325,0.361,12.957486136783734,5.326335877862595
15016,STL,St. Louis, MO,11.05,4.26,1204,1194,487,439,0.404,0.368,12.477574750830565,5.168341708542713
11066,CMH,Columbus, OH,6.88,3.79,756,745,244,253,0.323,0.34,15.205026455026456,5.860402684563758
10529,BDL,Hartford, CT,5.57,4.1,465,501,120,181,0.258,0.361,13.436559139784947,5.2235528942115765
10732,BQN,Aguadilla, PR,21.95,14.19,37,31,16,12,0.432,0.387,11.162162162162161,8.483870967741936
14674,SAF,Santa Fe, NM,18.33,4.09,42,43,14,14,0.333,0.326,16.666666666666668,4.325581395348837
13577,MYR,Myrtle Beach, SC,4.9,4.65,193,220,53,84,0.275,0.382,12.865284974093264,5.463636363636364
11267,DAY,Dayton, OH,10.18,1.82,255,272,80,86,0.314,0.316,16.933333333333334,5.345588235294118
10868,CAE,Columbia, SC,9.38,10.88,175,173,57,67,0.326,0.387,15.571428571428571,5.07514450867052
11775,FSD,Sioux Falls, SD,8.24,5.55,148,142,56,55,0.378,0.387,19.0472972972973,6.647887323943662
11292,DEN,Denver, CO,10.12,2.54,4267,4376,1620,1457,0.38,0.333,17.988516522146707,8.932586837294332
13851,OKC,Oklahoma City, OK,7.0,3.94,400,408,143,150,0.358,0.368,13.9925,5.4754901960784315
10792,BUF,Buffalo, NY,8.71,5.71,449,424,144,156,0.321,0.368,15.561247216035635,4.561320754716981
14869,SLC,Salt Lake City, UT,5.96,-0.87,1965,1941,557,574,0.283,0.296,18.115521628498726,7.099433281813498
14113,PIH,Pocatello, ID,-0.08,-6.35,25,20,6,5,0.24,0.25,11.92,3.15
13232,MDW,Chicago, IL,14.28,1.79,1333,1281,568,438,0.426,0.342,12.12603150787697,5.7462919594067134
13244,MEM,Memphis, TN,8.83,7.32,418,463,142,175,0.34,0.378,15.205741626794259,5.5161987041036715
