route_key,route_dep_delay,route_arr_delay,route_count,route_var
9E_11193_12266,39.285714285714285,47.642857142857146,14,8.357142857142861
9E_11193_12478,7.875,1.411764705882353,17,-6.463235294117647
9E_11193_12953,18.432098765432098,18.548780487804876,82,0.1166817223727783
9E_11193_13198,15.75,8.45,20,-7.300000000000001
9E_11193_13204,-4.0,4.0,1,8.0
9E_11193_13485,12.0,-11.0,1,-23.0
9E_11193_13487,11.485294117647058,7.102941176470588,68,-4.38235294117647
9E_11193_13930,20.475,19.26829268292683,41,-1.206707317073171
9E_11193_14100,19.886363636363637,15.636363636363637,44,-4.25
9E_11193_14492,8.05,7.1,20,-0.9500000000000011
9E_11193_14635,-3.5,0.0,2,3.5
9E_11193_15016,4.142857142857143,2.2857142857142856,7,-1.8571428571428577
9E_11193_15304,29.0,16.0,1,-13.0
9E_11193_15919,38.666666666666664,45.666666666666664,3,7.0
9E_11203_11433,5.1,3.2333333333333334,30,-1.8666666666666663
9E_11203_13487,9.472222222222221,11.63888888888889,36,2.166666666666668
9E_11267_11433,-4.833333333333333,-5.076923076923077,13,-0.2435897435897436
9E_11267_12953,65.0,67.0,1,2.0
9E_11267_13487,10.25,14.875,8,4.625
9E_11278_11193,17.774193548387096,14.28125,32,-3.492943548387096
9E_11278_11433,7.333333333333333,3.3333333333333335,3,-3.9999999999999996
9E_11278_12478,20.428571428571427,18.114285714285714,35,-2.314285714285713
9E_11278_14492,14.444444444444445,15.777777777777779,9,1.333333333333334
9E_11292_11193,-4.5,9.5,2,14.0
9E_11298_11193,5.903225806451613,5.741935483870968,31,-0.16129032258064502
9E_11298_11433,-5.0,6.833333333333333,6,11.833333333333332
9E_11298_12478,33.25925925925926,25.214285714285715,28,-8.044973544973544
9E_11298_13487,17.548387096774192,17.516129032258064,31,-0.032258064516128115
9E_11423_10397,34.5,26.0,2,-8.5
9E_11423_11433,0.7647058823529411,-0.6470588235294118,51,-1.4117647058823528
9E_11423_12953,14.6,14.15,20,-0.4499999999999993
9E_11423_13487,5.28,7.631578947368421,76,2.351578947368421
9E_11433_10257,13.666666666666666,6.333333333333333,3,-7.333333333333333
9E_11433_10408,2.857142857142857,8.0,7,5.142857142857142
9E_11433_10423,21.0,8.0,1,-13.0
9E_11433_10434,0.15384615384615385,-0.38461538461538464,13,-0.5384615384615385
9E_11433_10529,229.0,221.0,1,-8.0
9E_11433_10599,-4.428571428571429,-10.0,7,-5.571428571428571
9E_11433_10693,21.666666666666668,8.666666666666666,3,-13.000000000000002
9E_11433_10785,7.03921568627451,5.823529411764706,51,-1.215686274509804
9E_11433_10792,34.0,27.571428571428573,7,-6.428571428571427
9E_11433_10821,-1.0,-10.0,1,-9.0
9E_11433_10874,139.0,120.0,1,-19.0
9E_11433_10980,9.142857142857142,13.142857142857142,7,4.0
9E_11433_10994,25.333333333333332,25.0,3,-0.33333333333333215
9E_11433_11003,-1.6666666666666667,-8.0,3,-6.333333333333333
9E_11433_11042,8.212765957446809,6.170212765957447,47,-2.042553191489362
